training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
4.640766,-4.640766,4.640766,0.018429339,1.0,0.018718272,-0.04038253,0.32534108,4.637289,-4.637289,4.637289,0.017038591,1.0,0.031046055936813356,155.23029208183289,5000
4.636641,-4.636641,4.636641,0.01677938,1.0,0.018223602,-0.026980381,0.24105814,4.635997,-4.635997,4.635997,0.016521772,1.0,0.0014110904216766357,162.2857539653778,10000
4.635853,-4.635853,4.635853,0.016464172,1.0,0.017815568,-0.019788006,0.2151558,4.635178,-4.635178,4.635178,0.016194135,1.0,0.0014317971229553222,169.44474625587463,15000
4.641775,-4.641775,4.641775,0.018832913,1.0,0.021983456,-0.020158883,0.2284717,4.632554,-4.632554,4.632554,0.015144614,1.0,0.0014257105350494385,176.573303937912,20000
4.637677,-4.637677,4.637677,0.01719377,1.0,0.025657658,-0.0193054,0.24716508,4.6413507,-4.6413507,4.6413507,0.018663097,1.0,0.001415483856201172,183.6507284641266,25000
4.632487,-4.632487,4.632487,0.01511772,1.0,0.019337598,-0.019168086,0.20828412,4.632659,-4.632659,4.632659,0.01518659,1.0,0.0014435483455657958,190.86847496032715,30000
4.63349,-4.63349,4.63349,0.015519013,1.0,0.016233785,-0.0321855,0.27267027,4.639651,-4.639651,4.639651,0.017983338,1.0,0.001532001543045044,198.5284879207611,35000
4.6284685,-4.6284685,4.6284685,0.0135101825,1.0,0.01583226,-0.029201906,0.22346663,4.6369867,-4.6369867,4.6369867,0.016917545,1.0,0.001541649055480957,206.23673820495605,40000
4.6362543,-4.6362543,4.6362543,0.016624663,1.0,0.033772454,-0.022474352,0.23811576,4.636716,-4.636716,4.636716,0.016809186,1.0,0.0015717366695404053,214.09542679786682,45000
4.631559,-4.631559,4.631559,0.014746499,1.0,0.028491277,-0.023438344,0.23047549,4.6361523,-4.6361523,4.6361523,0.016583782,1.0,0.0015426019668579101,221.80844116210938,50000
4.6309547,-4.6309547,4.6309547,0.014504874,1.0,0.022974359,-0.018650817,0.19915244,4.6371255,-4.6371255,4.6371255,0.016973207,1.0,0.0014920283317565919,229.2685902118683,55000
4.6305146,-4.6305146,4.6305146,0.014328784,1.0,0.017506562,-0.021628242,0.22256128,4.6399484,-4.6399484,4.6399484,0.018102339,1.0,0.0014895665168762208,236.7164285182953,60000
4.633279,-4.633279,4.633279,0.015434602,1.0,0.009252046,-0.0145139955,0.18453541,4.6352797,-4.6352797,4.6352797,0.016234962,1.0,0.0015565537452697754,244.49920225143433,65000
4.632847,-4.632847,4.632847,0.0152617665,1.0,0.02724195,-0.01618755,0.21971789,4.6338644,-4.6338644,4.6338644,0.015668647,1.0,0.0015530581951141357,252.26449823379517,70000
