training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
2.407536,-4.6917872,1.4075361,0.0388378,18.998983,0.99999994,-18.998983,1.0,0.45664942,0.0,-14.232553,-22.954334,0.45256048,-0.43241268,17.569998,0.96225655,-13.589903,-22.162914,0.05703882,2.4071865,-4.690622,1.4071866,0.03837176,18.566128,0.9999999,-18.566128,1.0,0.33225784,0.0,-14.593868,-23.035913,1.1921057,-13.943378,-22.263054,0.044846684,0.011600952196121216,58.00480771064758,5000
2.417562,-4.725217,1.4175651,0.052209612,27.140793,0.999997,-27.140713,1.0,0.8623179,0.0,-20.296858,-38.07622,1.2459149,-0.75664806,28.72345,0.8081762,-19.733551,-37.52304,0.12651834,2.4165645,-4.721882,1.4165646,0.050875653,28.09457,0.99999994,-28.09457,1.0,0.8981881,0.0,-20.397495,-38.137527,1.1911242,-19.867613,-37.542946,0.10793025,0.00204296555519104,68.21964144706726,10000
2.422937,-4.7431226,1.4229369,0.05937205,31.285034,1.0,-31.285034,1.0,0.8108081,0.0,-22.50935,-47.991524,0.47166967,-0.469345,24.173344,0.7075892,-22.003277,-47.478706,0.12805018,2.4222114,-4.7407045,1.4222114,0.058404654,31.088062,0.99999994,-31.088062,1.0,0.9135188,0.0,-22.602913,-48.698597,0.68150365,-22.120533,-48.211708,0.12540206,0.0020779197692871094,78.60924649238586,15000
2.4231482,-4.7438364,1.423151,0.05965755,33.539913,0.9999972,-33.539818,1.0,0.9328982,0.0,-24.79051,-55.189007,1.8362591,-0.5168847,43.02687,0.5840217,-24.279694,-54.73214,0.23796439,2.4222155,-4.7407184,1.4222155,0.058410287,33.399265,1.0,-33.399265,1.0,1.2269292,0.0,-24.326996,-55.254547,0.726669,-23.831766,-54.78581,0.22492023,0.0020595420360565186,88.90696358680725,20000
2.420323,-4.7344227,1.420327,0.055892147,34.416695,0.999996,-34.416557,1.0,0.99358356,0.0,-25.448933,-59.41623,0.832187,-0.8176153,29.097206,0.520309,-24.977898,-58.961544,0.12737297,2.423989,-4.7466297,1.423989,0.060774952,34.96237,1.0,-34.96237,1.0,0.8420987,0.0,-25.043428,-60.555172,0.47136876,-24.65703,-60.287384,0.17381442,0.0021608541965484618,99.71124053001404,25000
2.4191835,-4.7306113,1.4191835,0.054367524,36.38669,1.0,-36.38669,1.0,0.9571914,0.0,-25.818169,-62.062614,0.6880237,-0.6997446,34.609035,0.80972195,-25.415312,-61.73105,0.14914796,2.4229355,-4.7431183,1.4229355,0.05937014,36.59319,1.0,-36.59319,1.0,0.9154919,0.0,-25.892082,-62.859985,0.6750361,-25.424444,-62.533752,0.19232169,0.002108792734146118,110.25521087646484,30000
2.4137578,-4.7125254,1.4137578,0.04713322,37.65104,1.0,-37.65104,1.0,0.75670296,0.0,-26.741074,-64.34558,0.6542311,-0.6279652,24.87312,0.7078266,-26.362507,-64.103485,0.11723905,2.4188824,-4.7296076,1.4188824,0.053966094,37.088806,1.0,-37.088806,1.0,0.70536244,0.0,-26.41844,-64.270996,0.9719284,-26.045252,-63.856895,0.1329658,0.002151247501373291,121.01145458221436,35000
2.4148436,-4.7161455,1.4148436,0.04858103,39.072956,1.0,-39.072956,1.0,0.68407166,0.0,-27.102684,-67.91933,0.34183478,-1.052309,24.203352,0.72671163,-26.722694,-67.59044,0.13139673,2.4179091,-4.7263637,1.4179091,0.05266843,37.97181,1.0,-37.97181,1.0,0.8766156,0.0,-26.82648,-67.46293,0.60372835,-26.334267,-67.08136,0.22650619,0.002099574041366577,131.50933122634888,40000
2.4212682,-4.737561,1.4212682,0.057147313,39.155556,1.0,-39.155556,1.0,0.9523121,0.0,-28.430006,-71.30614,0.7652918,-0.7686496,34.406124,0.57136804,-28.009842,-71.0151,0.13356823,2.4215457,-4.7384853,1.4215457,0.057517212,38.988235,1.0,-38.988235,1.0,1.2936912,0.0,-28.214846,-70.215034,0.76445967,-27.742388,-69.90257,0.20422643,0.00221326208114624,142.5756480693817,45000
2.4179807,-4.726602,1.4179807,0.052763727,39.824005,1.0,-39.824005,1.0,0.67847383,0.0,-28.105736,-73.29879,0.3873695,-0.6256919,26.067478,0.5361093,-27.667475,-73.06239,0.21355829,2.4190373,-4.7301245,1.4190373,0.054172676,39.8459,1.0,-39.8459,1.0,0.56497943,0.0,-28.316883,-73.1569,0.6318362,-27.929482,-72.87473,0.15876402,0.002194593000411987,153.54861974716187,50000
2.4158418,-4.719473,1.4158418,0.04991203,41.137764,1.0,-41.137764,1.0,0.8833382,0.0,-29.514706,-75.56792,0.5386712,-0.6176562,27.55017,0.43142033,-29.144081,-75.22479,0.1530729,2.4193592,-4.7311974,1.4193593,0.054602023,40.701252,1.0,-40.701252,1.0,0.6922867,0.0,-27.972435,-74.72768,0.8186338,-27.551632,-74.43595,0.17151383,0.0021542405128479004,164.319828748703,55000
2.4139607,-4.7132025,1.4139607,0.04740398,40.93506,1.0,-40.93506,1.0,1.418993,0.0,-28.012619,-76.853455,1.4883415,-1.6633637,45.541477,0.9016304,-27.51806,-76.78872,0.22218797,2.4184504,-4.7281675,1.4184504,0.053389996,40.765503,1.0,-40.765503,1.0,0.8763241,0.0,-29.136694,-76.30134,0.64410067,-28.70543,-76.12142,0.13081871,0.002056268882751465,174.60117959976196,60000
2.419658,-4.732193,1.419658,0.055000257,41.721077,1.0,-41.721077,1.0,1.9603952,0.0,-28.607769,-79.0703,2.841971,-3.0448368,48.542156,0.43090814,-28.207747,-78.95146,0.1919291,2.4193275,-4.7310915,1.4193275,0.054559566,40.954285,1.0,-40.954285,1.0,1.6310635,0.0,-29.206024,-78.475395,0.5970009,-28.771418,-78.35847,0.27689686,0.002034629487991333,184.77433443069458,65000
2.416195,-4.7206745,1.4162023,0.050392695,42.41367,0.99999255,-42.413353,1.0,0.7103356,0.0,-30.404442,-79.22565,1.18103,-1.2007049,37.385593,0.40587804,-30.017452,-79.11843,0.21156955,2.4145446,-4.715149,1.4145446,0.048182454,42.284344,1.0,-42.284344,1.0,0.5564147,0.0,-29.926302,-81.00661,0.34853914,-29.520933,-80.74055,0.17167386,0.0021227396488189697,195.38803911209106,70000
2.4158645,-4.7195487,1.4158646,0.04994243,41.144352,1.0,-41.144352,1.0,0.8398808,0.0,-30.416122,-81.473175,1.3047482,-1.2125313,44.519928,0.85649216,-30.020409,-81.37806,0.22153138,2.4160936,-4.7203245,1.4160974,0.050252903,41.08181,0.9999962,-41.081654,1.0,0.7095255,0.0,-29.398157,-80.6791,0.5395794,-29.026388,-80.45848,0.14402626,0.0020865102767944335,205.82059741020203,75000
2.4167707,-4.7226057,1.4167818,0.05116532,42.27881,0.999989,-42.278343,1.0,1.0187321,0.0,-29.698044,-82.61651,1.2586972,-1.9508841,58.13291,0.8366128,-29.282097,-82.440186,0.25252756,2.4138532,-4.712844,1.4138532,0.047260504,41.640846,1.0,-41.640846,1.0,0.96878433,0.0,-29.266344,-82.418076,0.41736472,-28.900429,-82.232864,0.1857515,0.0021056148052215574,216.34867811203003,80000
2.4102845,-4.7009535,1.410286,0.042504217,43.697224,0.99999857,-43.697163,1.0,0.6147498,0.0,-29.551737,-83.17338,0.7351237,-0.57955134,31.514336,0.48640972,-29.199211,-83.02929,0.1656006,2.416339,-4.7211466,1.4163439,0.050581526,41.865715,0.9999949,-41.8655,1.0,0.5782001,0.0,-29.321985,-82.97793,0.3191831,-28.940977,-82.722946,0.33482224,0.0021089569091796876,226.89346981048584,85000
2.4128044,-4.709348,1.4128044,0.045862183,42.89924,1.0,-42.89924,1.0,1.0017257,0.0,-31.157806,-83.04018,1.2054056,-1.2159696,44.0185,0.39683303,-30.785875,-82.8932,0.16894893,2.4138408,-4.712803,1.4138409,0.04724405,42.390305,1.0,-42.390305,1.0,0.6783346,0.0,-30.661488,-83.41446,0.8005361,-30.268518,-83.281784,0.26208085,0.0020872185707092286,237.32956910133362,90000
2.410758,-4.702526,1.4107579,0.043133397,43.56398,1.0000001,-43.56398,1.0,0.8752379,0.0,-30.070002,-82.750694,4.642193,-5.0531654,64.12613,0.51381785,-29.66904,-82.62853,0.26246127,2.4136226,-4.712075,1.4136226,0.046952993,41.516693,1.0,-41.516693,1.0,0.6093902,0.0,-29.651278,-84.53657,1.0903163,-29.239048,-84.43411,0.28898153,0.002032362174987793,247.49138712882996,95000
